id;name;description;type;picture;picture_content_type
1;maximize Central;Associate;PUZZLE;../fake-data/blob/hipster.png;image/png
2;coherent pixel wireless;capacitor collaborative;PUZZLE;../fake-data/blob/hipster.png;image/png
3;orchestrate Morocco;Credit Card Account Avon;GAME;../fake-data/blob/hipster.png;image/png
4;Minnesota deposit Brand;Georgia Nevada Wooden;GAME;../fake-data/blob/hipster.png;image/png
5;Incredible Home Loan Account;infrastructures Soft Gloves;GAME;../fake-data/blob/hipster.png;image/png
6;bandwidth hacking;red Savings Account Tasty Rubber Keyboard;OTHER;../fake-data/blob/hipster.png;image/png
7;bypass Dominican Peso;digital Architect payment;GAME;../fake-data/blob/hipster.png;image/png
8;JBOD neural;Checking Account Streamlined Director;OTHER;../fake-data/blob/hipster.png;image/png
9;Refined;Upgradable Chair;PUZZLE;../fake-data/blob/hipster.png;image/png
10;Tennessee Fresh;visionary;OTHER;../fake-data/blob/hipster.png;image/png
